EmplID,Age,BU,date,EthnicGroup,FP,Gender,HireDate,PayTypeID,TermDate,TermReason
1,53,14,2011-01-01 00:00:00,1,F,C,1995-05-31 00:00:00,H,,
1,51,14,2011-01-01 00:00:00,1,F,C,1996-01-04 00:00:00,H,,
1,38,14,2011-01-01 00:00:00,1,F,C,1996-01-25 00:00:00,H,,
1,39,14,2011-01-01 00:00:00,1,F,C,1996-03-02 00:00:00,H,,
1,44,14,2011-01-01 00:00:00,1,F,C,1996-04-10 00:00:00,H,,
1,36,14,2011-01-01 00:00:00,1,F,C,1996-04-24 00:00:00,H,,
1,57,14,2011-01-01 00:00:00,1,F,C,1996-04-28 00:00:00,H,,
2,125,14,2011-01-01 00:00:00,1,F,C,1996-05-08 00:00:00,H,,
1,45,14,2011-01-01 00:00:00,1,F,C,1996-05-12 00:00:00,H,,
1,58,14,2011-01-01 00:00:00,1,F,C,1996-07-05 00:00:00,H,,
1,54,14,2011-01-01 00:00:00,1,F,C,1996-10-17 00:00:00,H,,
1,34,14,2011-01-01 00:00:00,1,F,C,1997-03-07 00:00:00,H,,
1,63,14,2011-01-01 00:00:00,1,F,C,1997-07-08 00:00:00,H,,
1,31,14,2011-01-01 00:00:00,1,F,C,1997-07-09 00:00:00,H,,
1,36,14,2011-01-01 00:00:00,1,F,C,1997-07-29 00:00:00,H,,
1,48,14,2011-01-01 00:00:00,1,F,C,1997-10-03 00:00:00,H,,
1,38,14,2011-01-01 00:00:00,1,F,C,1997-11-19 00:00:00,H,,
1,57,14,2011-01-01 00:00:00,1,F,C,1997-11-21 00:00:00,H,,
1,36,14,2011-01-01 00:00:00,1,F,C,1998-06-04 00:00:00,H,,
1,31,14,2011-01-01 00:00:00,1,F,C,1998-09-09 00:00:00,H,,
1,35,14,2011-01-01 00:00:00,1,F,C,1999-04-15 00:00:00,H,,
1,29,14,2011-01-01 00:00:00,1,F,C,1999-05-21 00:00:00,H,,
1,35,14,2011-01-01 00:00:00,1,F,C,1999-06-17 00:00:00,H,,
1,61,14,2011-01-01 00:00:00,1,F,C,1999-06-18 00:00:00,H,,
1,36,14,2011-01-01 00:00:00,1,F,C,1999-06-25 00:00:00,H,,
1,40,14,2011-01-01 00:00:00,1,F,C,1999-08-27 00:00:00,H,,
1,40,14,2011-01-01 00:00:00,1,F,C,1999-11-05 00:00:00,H,,
1,30,14,2011-01-01 00:00:00,1,F,C,2000-05-19 00:00:00,H,,
1,51,14,2011-01-01 00:00:00,1,F,C,2000-08-25 00:00:00,H,,
1,39,14,2011-01-01 00:00:00,1,F,C,2000-09-01 00:00:00,H,,
1,46,14,2011-01-01 00:00:00,1,F,C,2001-01-26 00:00:00,H,,
1,30,14,2011-01-01 00:00:00,1,F,C,2001-07-27 00:00:00,H,,
1,52,14,2011-01-01 00:00:00,1,F,C,2001-11-09 00:00:00,H,,
1,28,14,2011-01-01 00:00:00,1,F,C,2002-07-16 00:00:00,H,,
1,32,14,2011-01-01 00:00:00,1,F,C,2002-09-10 00:00:00,H,,
1,42,14,2011-01-01 00:00:00,1,F,C,2002-10-01 00:00:00,H,,
1,66,14,2011-01-01 00:00:00,1,F,C,2002-10-22 00:00:00,H,,
1,32,14,2011-01-01 00:00:00,1,F,C,2003-02-26 00:00:00,H,,
1,74,14,2011-01-01 00:00:00,1,F,C,2003-04-09 00:00:00,H,,
1,29,14,2011-01-01 00:00:00,1,F,C,2003-07-29 00:00:00,H,,
1,33,14,2011-01-01 00:00:00,1,F,C,2003-10-23 00:00:00,H,,
1,59,14,2011-01-01 00:00:00,1,F,C,2004-09-29 00:00:00,H,,
1,27,14,2011-01-01 00:00:00,1,F,C,2004-09-30 00:00:00,H,,
1,45,14,2011-01-01 00:00:00,1,F,C,2005-03-29 00:00:00,H,,
