20051018,2005-10-18 00:00:00.000,10/18/2005,18,18th,Tuesday,3,3,42,3,291,4,3,43,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051019,2005-10-19 00:00:00.000,10/19/2005,19,19th,Wednesday,4,3,42,3,292,4,3,43,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051020,2005-10-20 00:00:00.000,10/20/2005,20,20th,Thursday,5,3,42,3,293,4,3,43,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051021,2005-10-21 00:00:00.000,10/21/2005,21,21st,Friday,6,3,42,3,294,4,3,43,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051022,2005-10-22 00:00:00.000,10/22/2005,22,22nd,Saturday,7,4,43,4,295,4,4,43,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,0,
20051023,2005-10-23 00:00:00.000,10/23/2005,23,23rd,Sunday,1,4,43,4,296,5,4,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,0,
20051024,2005-10-24 00:00:00.000,10/24/2005,24,24th,Monday,2,4,43,4,297,5,4,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051025,2005-10-25 00:00:00.000,10/25/2005,25,25th,Tuesday,3,4,43,4,298,5,4,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051026,2005-10-26 00:00:00.000,10/26/2005,26,26th,Wednesday,4,4,43,4,299,5,4,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051027,2005-10-27 00:00:00.000,10/27/2005,27,27th,Thursday,5,4,43,4,300,5,4,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051028,2005-10-28 00:00:00.000,10/28/2005,28,28th,Friday,6,4,43,4,301,5,4,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
20051029,2005-10-29 00:00:00.000,10/29/2005,29,29th,Saturday,7,5,44,5,302,5,5,44,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,0,
20051030,2005-10-30 00:00:00.000,10/30/2005,30,30th,Sunday,1,5,44,5,303,6,5,45,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,0,
20051031,2005-10-31 00:00:00.000,10/31/2005,31,31st,Monday,2,5,44,5,304,6,5,45,10,October,1,4,Fourth,2005,CY 2005,Oct-2005  ,102005,2005-10-01,2005-10-31,2005-10-01,2005-12-31,2005-01-01,2005-12-31,1,1,Halloween
20051101,2005-11-01 00:00:00.000,11/01/2005,1,1st,Tuesday,3,1,44,5,305,1,5,45,11,November,2,4,Fourth,2005,CY 2005,Nov-2005  ,112005,2005-11-01,2005-11-30,2005-10-01,2005-12-31,2005-01-01,2005-12-31,0,1,
