20110428,2011-04-28 00:00:00.000,04/28/2011,28,28th,Thursday,5,4,17,4,118,5,4,18,4,April,1,2,Second,2011,CY 2011,Apr-2011  ,042011,2011-04-01,2011-04-30,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110429,2011-04-29 00:00:00.000,04/29/2011,29,29th,Friday,6,5,17,5,119,5,5,18,4,April,1,2,Second,2011,CY 2011,Apr-2011  ,042011,2011-04-01,2011-04-30,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110430,2011-04-30 00:00:00.000,04/30/2011,30,30th,Saturday,7,5,18,5,120,5,5,18,4,April,1,2,Second,2011,CY 2011,Apr-2011  ,042011,2011-04-01,2011-04-30,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,0,
20110501,2011-05-01 00:00:00.000,05/01/2011,1,1st,Sunday,1,1,18,5,121,1,5,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,0,
20110502,2011-05-02 00:00:00.000,05/02/2011,2,2nd,Monday,2,1,18,5,122,1,5,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110503,2011-05-03 00:00:00.000,05/03/2011,3,3rd,Tuesday,3,1,18,5,123,1,5,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110504,2011-05-04 00:00:00.000,05/04/2011,4,4th,Wednesday,4,1,18,5,124,1,5,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110505,2011-05-05 00:00:00.000,05/05/2011,5,5th,Thursday,5,1,18,5,125,1,5,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110506,2011-05-06 00:00:00.000,05/06/2011,6,6th,Friday,6,1,18,6,126,1,6,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
20110507,2011-05-07 00:00:00.000,05/07/2011,7,7th,Saturday,7,1,19,6,127,1,6,19,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,0,
20110508,2011-05-08 00:00:00.000,05/08/2011,8,8th,Sunday,1,2,19,6,128,2,6,20,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,0,
20110509,2011-05-09 00:00:00.000,05/09/2011,9,9th,Monday,2,2,19,6,129,2,6,20,5,May,2,2,Second,2011,CY 2011,May-2011  ,052011,2011-05-01,2011-05-31,2011-04-01,2011-06-30,2011-01-01,2011-12-31,0,1,
